model,feature_set,is_best,path,selected_validation_f1,test_final_f1,test_final_auc_roc,best_params
LogisticRegression,sensorica_ambiental,True,/content/drive/MyDrive/simarro-cursoia/caso-d-classrooms/outputs_ingauge_engage_sensorica/models/best_sensorica_ambiental_LogisticRegression.joblib,0.691280100298301,0.6980269390781398,0.9396652697263937,"{'model__C': 10.0, 'model__class_weight': 'balanced'}"
RandomForest,sensorica_ambiental,False,/content/drive/MyDrive/simarro-cursoia/caso-d-classrooms/outputs_ingauge_engage_sensorica/models/sensorica_ambiental_RandomForest.joblib,0.6832958495195257,0.6606235518881346,0.9362437046772116,"{'model__max_depth': None, 'model__min_samples_leaf': 20, 'model__n_estimators': 200}"
HistGradientBoosting,sensorica_ambiental,False,/content/drive/MyDrive/simarro-cursoia/caso-d-classrooms/outputs_ingauge_engage_sensorica/models/sensorica_ambiental_HistGradientBoosting.joblib,0.6773833444965394,0.6424650834193794,0.9410456745619228,"{'model__l2_regularization': 0.0, 'model__learning_rate': 0.03, 'model__max_iter': 100, 'model__max_leaf_nodes': 31}"
GaussianNB,sensorica_ambiental,False,/content/drive/MyDrive/simarro-cursoia/caso-d-classrooms/outputs_ingauge_engage_sensorica/models/sensorica_ambiental_GaussianNB.joblib,0.6623853211009174,0.6598810050646605,0.9338211739022796,{'model__var_smoothing': 1e-09}
DecisionTree,sensorica_ambiental,False,/content/drive/MyDrive/simarro-cursoia/caso-d-classrooms/outputs_ingauge_engage_sensorica/models/sensorica_ambiental_DecisionTree.joblib,0.6528088213381016,0.6605128205128206,0.938257621291906,"{'model__max_depth': 4, 'model__min_samples_leaf': 20}"
Baseline_MostFrequent,sensorica_ambiental,False,/content/drive/MyDrive/simarro-cursoia/caso-d-classrooms/outputs_ingauge_engage_sensorica/models/sensorica_ambiental_Baseline_MostFrequent.joblib,0.0,0.0,0.5,{}
